release_year, Action, Adventure, Animation, Comedy, Crime, Documentary, Drama, Family, Fantasy, Foreign, History, Horror, Music, Mystery, Romance, Science Fiction, TV Movie, Thriller, War, Western,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1989,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,4.0,2.0,0.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1997,1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,1.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1999,2.0,1.0,1.0,4.0,4.0,0.0,8.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0
2000,4.0,2.0,1.0,4.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
2001,2.0,2.0,3.0,3.0,3.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,4.0,2.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2002,8.0,5.0,0.0,5.0,6.0,0.0,6.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,5.0,0.0,8.0,1.0,0.0,6.0,4.0,1.0,4.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
2003,4.0,0.0,0.0,4.0,7.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,4.0,5.0,1.0,10.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2004,6.0,7.0,3.0,5.0,6.0,0.0,12.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,9.0,6.0,0.0,9.0,2.0,0.0,8.0,2.0,1.0,9.0,1.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0
2005,5.0,8.0,2.0,8.0,6.0,0.0,13.0,11.0,5.0,0.0,4.0,3.0,1.0,2.0,11.0,3.0,0.0,12.0,1.0,0.0,11.0,6.0,2.0,7.0,4.0,1.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
2006,8.0,8.0,3.0,14.0,7.0,0.0,22.0,12.0,8.0,0.0,1.0,2.0,1.0,8.0,12.0,7.0,1.0,23.0,3.0,0.0,8.0,6.0,6.0,17.0,3.0,3.0,18.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0
2007,12.0,5.0,4.0,11.0,10.0,1.0,23.0,13.0,9.0,1.0,2.0,5.0,6.0,10.0,14.0,5.0,0.0,20.0,0.0,1.0,6.0,10.0,3.0,20.0,4.0,2.0,19.0,2.0,4.0,0.0,1.0,9.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,1.0
2008,11.0,9.0,3.0,12.0,16.0,2.0,20.0,12.0,7.0,0.0,4.0,4.0,2.0,4.0,14.0,10.0,0.0,25.0,4.0,0.0,19.0,13.0,3.0,27.0,2.0,2.0,26.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0
2009,11.0,12.0,4.0,20.0,12.0,1.0,23.0,19.0,10.0,0.0,6.0,7.0,5.0,11.0,30.0,17.0,0.0,24.0,2.0,0.0,18.0,9.0,7.0,31.0,1.0,2.0,34.0,1.0,3.0,0.0,1.0,12.0,2.0,2.0,3.0,4.0,0.0,5.0,0.0,0.0
2010,14.0,17.0,4.0,22.0,12.0,0.0,33.0,15.0,12.0,1.0,4.0,11.0,1.0,10.0,29.0,11.0,0.0,35.0,2.0,5.0,20.0,7.0,6.0,39.0,7.0,4.0,45.0,3.0,4.0,0.0,0.0,8.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0
2011,17.0,12.0,6.0,30.0,14.0,2.0,25.0,20.0,9.0,1.0,3.0,7.0,3.0,11.0,18.0,19.0,0.0,41.0,3.0,2.0,29.0,12.0,8.0,34.0,4.0,2.0,38.0,1.0,3.0,0.0,1.0,11.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,0.0
2012,11.0,13.0,4.0,21.0,10.0,1.0,20.0,8.0,9.0,0.0,2.0,7.0,5.0,3.0,15.0,9.0,0.0,28.0,2.0,2.0,20.0,7.0,5.0,24.0,5.0,4.0,19.0,2.0,3.0,1.0,1.0,7.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0
2013,7.0,16.0,3.0,9.0,15.0,2.0,18.0,15.0,10.0,0.0,1.0,6.0,5.0,3.0,5.0,10.0,0.0,18.0,1.0,1.0,20.0,6.0,7.0,12.0,4.0,4.0,16.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0
2014,14.0,13.0,3.0,11.0,2.0,0.0,13.0,5.0,7.0,0.0,1.0,1.0,1.0,6.0,4.0,14.0,0.0,16.0,3.0,0.0,11.0,6.0,1.0,3.0,7.0,0.0,14.0,3.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,7.0,3.0,0.0
2015,8.0,18.0,8.0,14.0,4.0,1.0,19.0,8.0,4.0,0.0,3.0,5.0,2.0,8.0,4.0,16.0,0.0,22.0,1.0,1.0,13.0,9.0,2.0,8.0,8.0,1.0,20.0,1.0,4.0,0.0,1.0,6.0,0.0,2.0,5.0,5.0,0.0,8.0,0.0,1.0
2016,3.0,11.0,3.0,11.0,5.0,0.0,12.0,4.0,8.0,0.0,4.0,6.0,0.0,3.0,2.0,8.0,0.0,15.0,1.0,0.0,20.0,8.0,1.0,10.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,6.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
