release_year,total_revenue,average_revenue
2011-08-18,24922237,24922237.0
2011-08-26,17273593,17273593.0
2011-08-31,132898012,66449006.0
2011-09-02,10126458,10126458.0
2011-09-08,141656781,70828390.5
2011-09-09,200300300,40060060.0
2011-09-10,3665069,1832534.5
2011-09-11,3225000,1612500.0
2011-09-15,160078586,160078586.0
2011-09-16,68479005,13695801.0
2011-09-22,192763318,64254439.333333336
2011-09-23,97932301,48966150.5
2011-09-24,75993061,75993061.0
2011-09-28,318772547,159386273.5
2011-09-30,131598141,32899535.25
2011-10-14,0,0.0
2011-10-19,205703818,205703818.0
2011-10-21,18933533,9466766.5
2011-10-25,371940071,371940071.0
2011-10-27,173930596,173930596.0
2011-10-28,3542353,3542353.0
2011-10-30,5355847,5355847.0
2011-11-02,152930623,152930623.0
2011-11-04,35387212,35387212.0
2011-11-06,33372606,33372606.0
2011-11-09,84606030,84606030.0
2011-11-10,226904017,226904017.0
2011-11-11,149673788,149673788.0
2011-11-17,150406466,150406466.0
2011-11-22,685569397,228523132.33333334
2011-11-28,136836156,136836156.0
2011-12-01,78396,78396.0
2011-12-07,694713380,694713380.0
2011-12-10,149217355,149217355.0
2011-12-14,575312865,287656432.5
2011-12-16,22939027,22939027.0
2011-12-21,5634828,5634828.0
2011-12-22,184708627,92354313.5
2011-12-23,303877,303877.0
2011-12-24,55247881,55247881.0
2011-12-25,177584879,177584879.0
2011-12-30,114956699,114956699.0
2012-01-06,101758490,101758490.0
2012-01-12,63100000,63100000.0
2012-01-13,46221189,23110594.5
2012-01-19,566170808,188723602.66666666
2012-01-26,114172052,57086026.0
2012-02-01,127730736,127730736.0
2012-02-02,24719215,24719215.0
2012-02-09,208076205,208076205.0
2012-02-14,156974557,156974557.0
2012-02-23,24159934,12079967.0
2012-02-24,82117954,41058977.0
2012-03-06,0,0.0
2012-03-07,306183377,153091688.5
2012-03-12,892796020,446398010.0
2012-03-15,0,0.0
2012-03-27,301000000,301000000.0
2012-04-04,234989584,234989584.0
2012-04-06,0,0.0
2012-04-12,98690110,49345055.0
2012-04-13,54819301,27409650.5
2012-04-16,136416693,68208346.5
2012-04-25,1519557910,1519557910.0
2012-04-27,53909751,26954875.5
2012-04-28,0,0.0
2012-05-03,0,0.0
2012-05-08,245527149,245527149.0
2012-05-15,179379533,179379533.0
2012-05-16,68263166,68263166.0
2012-05-17,79700000,79700000.0
2012-05-22,8784318,8784318.0
2012-05-23,624026776,624026776.0
2012-05-24,18112929,18112929.0
2012-05-30,799770142,399885071.0
2012-06-01,9622846,4811423.0
2012-06-05,0,0.0
2012-06-13,59418613,59418613.0
2012-06-14,58058367,58058367.0
2012-06-15,73706,73706.0
2012-06-21,538983207,538983207.0
2012-06-26,877244782,877244782.0
2012-06-27,752215857,752215857.0
2012-06-28,199948527,99974263.5
2012-06-29,570476061,190158687.0
2012-07-06,82966152,82966152.0
2012-07-13,33400000,33400000.0
2012-07-16,1084939099,1084939099.0
2012-08-03,110234212,55117106.0
2012-08-05,0,0.0
2012-08-06,11947954,11947954.0
2012-08-08,589146361,294573180.5
2012-08-10,0,0.0
2012-08-15,51854875,51854875.0
2012-08-16,3325038,3325038.0
2012-08-22,14400000,14400000.0
2012-08-23,9946777,4973388.5
2012-08-24,31083599,31083599.0
2012-08-30,85446075,85446075.0
2012-08-31,444575,444575.0
2012-09-07,73691464,24563821.333333332
2012-09-08,205738714,205738714.0
2012-09-10,1165882,1165882.0
2012-09-12,240159255,240159255.0
2012-09-19,0,0.0
2012-09-20,429706068,143235356.0
2012-09-21,0,0.0
2012-09-26,47042000,47042000.0
2012-09-27,0,0.0
2012-09-28,115350426,115350426.0
2012-10-04,35287788,35287788.0
2012-10-11,232324128,232324128.0
2012-10-12,0,0.0
2012-10-25,1108561013,1108561013.0
2012-10-26,130482868,130482868.0
2012-10-27,0,0.0
2012-11-01,471334189,235667094.5
2012-11-08,66351,66351.0
2012-11-20,609016565,609016565.0
2012-11-21,306941670,306941670.0
2012-11-26,1021103568,1021103568.0
2012-12-18,441809770,441809770.0
2012-12-19,132820716,132820716.0
2012-12-20,306399381,153199690.5
2012-12-25,425368238,425368238.0
2013-01-01,19255873,19255873.0
2013-01-10,105200903,105200903.0
2013-01-11,60141683,60141683.0
2013-01-12,0,0.0
2013-01-17,371301246,185650623.0
2013-01-18,19701164,19701164.0
2013-01-24,31724284,31724284.0
2013-02-06,304654182,304654182.0
2013-02-07,237337767,118668883.5
2013-02-14,74597643,37298821.5
2013-02-20,0,0.0
2013-02-27,197687603,197687603.0
2013-02-28,12077441,12077441.0
2013-03-01,0,0.0
2013-03-07,491868548,491868548.0
2013-03-14,68572378,68572378.0
2013-03-20,620664536,310332268.0
2013-04-05,97542952,97542952.0
2013-04-10,286168572,286168572.0
2013-04-18,1301615285,650807642.5
2013-04-19,2861020,2861020.0
2013-04-20,0,0.0
2013-04-26,0,0.0
2013-05-31,2401510,2401510.0
2013-06-07,44000000,22000000.0
2013-06-12,788886840,394443420.0
2013-06-13,18662027,18662027.0
2013-06-20,531865000,531865000.0
2013-06-25,970761885,970761885.0
2013-06-28,0,0.0
2013-07-03,121520817,60760408.5
2013-07-11,937157866,234289466.5
2013-07-18,406836016,101709004.0
2013-07-23,415440673,415440673.0
2013-07-24,3566225,3566225.0
2013-07-25,17385830,17385830.0
2013-07-29,56825,56825.0
2013-07-30,347434178,347434178.0
2013-08-01,86758912,86758912.0
2013-08-02,138795022,69397511.0
2013-08-07,444572870,222286435.0
2013-08-21,90565421,90565421.0
2013-08-23,343341,343341.0
2013-08-26,0,0.0
2013-08-28,0,0.0
2013-08-29,10501938,10501938.0
2013-09-02,98337295,98337295.0
2013-09-05,0,0.0
2013-09-12,0,0.0
2013-09-13,0,0.0
2013-09-18,122126687,122126687.0
2013-09-24,62616646,62616646.0
2013-09-27,716392705,716392705.0
2013-10-04,0,0.0
2013-10-05,0,0.0
2013-10-09,122915111,122915111.0
2013-10-10,95000000,95000000.0
2013-10-16,82394288,82394288.0
2013-10-23,125537191,125537191.0
2013-10-29,644571402,644571402.0
2013-11-08,76586316,76586316.0
2013-11-15,847423452,847423452.0
2013-11-22,0,0.0
2013-11-27,1281237198,640618599.0
2013-12-11,958400000,958400000.0
2013-12-12,251171807,251171807.0
2013-12-13,0,0.0
2013-12-18,173897769,86948884.5
2013-12-24,149295601,74647800.5
2013-12-25,392000694,392000694.0
2013-12-29,0,0.0
2014-01-11,0,0.0
2014-01-20,32251,32251.0
2014-01-22,71154592,71154592.0
2014-01-24,154984035,154984035.0
2014-01-30,242688965,242688965.0
2014-02-06,469160692,469160692.0
2014-02-13,30800231,30800231.0
2014-03-05,337580051,337580051.0
2014-03-14,288747895,288747895.0
2014-03-15,600896,600896.0
2014-03-19,500188435,500188435.0
2014-03-20,1077404045,538702022.5
2014-03-25,10429707,10429707.0
2014-04-15,0,0.0
2014-04-16,807050394,403525197.0
2014-04-19,0,0.0
2014-04-25,258384,258384.0
2014-05-09,38307627,38307627.0
2014-05-15,747862775,747862775.0
2014-05-27,370541256,370541256.0
2014-05-28,758539785,758539785.0
2014-06-05,188441614,188441614.0
2014-06-12,609123048,609123048.0
2014-06-25,1091405097,1091405097.0
2014-06-26,710644566,710644566.0
2014-07-14,126546825,126546825.0
2014-07-26,0,0.0
2014-07-30,773328629,773328629.0
2014-08-04,206172544,206172544.0
2014-08-07,477200000,477200000.0
2014-08-11,66980456,66980456.0
2014-08-14,40100000,40100000.0
2014-08-20,39407616,39407616.0
2014-08-21,0,0.0
2014-08-27,32556119,32556119.0
2014-09-04,0,0.0
2014-09-10,416769003,138923001.0
2014-09-12,53271237,26635618.5
2014-10-01,369330363,369330363.0
2014-10-02,255273813,255273813.0
2014-10-03,19682924,19682924.0
2014-10-08,184373537,92186768.5
2014-10-09,54837234,27418617.0
2014-10-10,13092000,13092000.0
2014-10-19,0,0.0
2014-10-23,38697217,38697217.0
2014-10-24,652105443,652105443.0
2014-11-05,675120017,675120017.0
2014-11-14,233555708,233555708.0
2014-11-18,752100229,752100229.0
2014-11-26,123726688,123726688.0
2014-11-27,259207227,259207227.0
2014-12-03,268031828,268031828.0
2014-12-10,956019788,956019788.0
2014-12-11,542307423,542307423.0
2014-12-12,114178613,114178613.0
2014-12-16,325771424,325771424.0
2014-12-25,442147437,88429487.4
2014-12-30,12007070,12007070.0
2015-01-13,17752940,17752940.0
2015-01-21,67287974,33643987.0
2015-01-23,52425855,52425855.0
2015-01-24,0,0.0
2015-01-29,64110728,64110728.0
2015-01-30,32248241,32248241.0
2015-02-04,183987723,183987723.0
2015-02-05,311594032,311594032.0
2015-02-11,571006128,571006128.0
2015-02-20,43528634,43528634.0
2015-02-25,153962963,153962963.0
2015-03-04,104399548,104399548.0
2015-03-12,543514353,543514353.0
2015-03-13,0,0.0
2015-03-18,664109208,332054604.0
2015-04-01,1506249360,1506249360.0
2015-04-03,7587485,7587485.0
2015-04-08,0,0.0
2015-04-10,61619773,30809886.5
2015-04-16,65663276,65663276.0
2015-04-22,1405403694,1405403694.0
2015-04-23,6420319,6420319.0
2015-05-08,187112,187112.0
2015-05-13,378858340,378858340.0
2015-05-19,209154322,209154322.0
2015-05-21,0,0.0
2015-05-27,470490832,470490832.0
2015-06-09,2371139984,1185569992.0
2015-06-17,1156730962,1156730962.0
2015-06-19,17986781,17986781.0
2015-06-23,440603537,440603537.0
2015-07-09,0,0.0
2015-07-10,73187636,36593818.0
2015-07-14,519311965,519311965.0
2015-07-16,243637091,243637091.0
2015-07-23,682330139,682330139.0
2015-07-29,97571250,97571250.0
2015-07-30,58978653,58978653.0
2015-08-05,326140384,163070192.0
2015-08-13,201634991,201634991.0
2015-08-19,52882018,52882018.0
2015-08-29,0,0.0
2015-08-31,0,0.0
2015-09-03,72629670,72629670.0
2015-09-04,0,0.0
2015-09-09,354229920,177114960.0
2015-09-10,301877646,150938823.0
2015-09-11,7002261,3501130.5
2015-09-18,187674,187674.0
2015-09-24,194564672,194564672.0
2015-09-30,691343832,345671916.0
2015-10-02,37180078,12393359.333333334
2015-10-09,34441873,34441873.0
2015-10-14,34854990,34854990.0
2015-10-16,35401758,11800586.0
2015-10-20,62076141,62076141.0
2015-10-21,146936910,146936910.0
2015-10-26,880674609,880674609.0
2015-11-05,246233113,246233113.0
2015-11-06,88346473,88346473.0
2015-11-10,34227298,34227298.0
2015-11-12,74363790,24787930.0
2015-11-13,0,0.0
2015-11-14,331926147,331926147.0
2015-11-18,653428261,653428261.0
2015-11-20,93820758,46910379.0
2015-11-25,173567581,173567581.0
2015-11-26,61548707,61548707.0
2015-12-03,133718711,133718711.0
2015-12-04,0,0.0
2015-12-11,133346506,44448835.333333336
2015-12-17,233755553,233755553.0
2015-12-25,931496757,310498919.0
2016-01-07,40055439,40055439.0
2016-01-13,69411370,69411370.0
2016-01-14,234733688,117366844.0
2016-01-21,206416541,103208270.5
2016-01-22,64188367,64188367.0
2016-01-23,521170825,521170825.0
2016-01-25,52099090,52099090.0
2016-01-28,21164799,21164799.0
2016-02-04,16374328,16374328.0
2016-02-05,63647656,63647656.0
2016-02-06,55969000,55969000.0
2016-02-09,783112979,783112979.0
2016-02-18,6212282,6212282.0
2016-02-19,53063242,26531621.0
2016-02-26,46152800,46152800.0
2016-03-02,205754447,205754447.0
2016-03-09,179246868,179246868.0
2016-03-10,108286421,108286421.0
2016-03-11,0,0.0
2016-03-17,77000000,77000000.0
2016-03-23,873260194,873260194.0
2016-03-29,0,0.0
2016-04-06,164602163,164602163.0
2016-04-07,78636257,78636257.0
2016-04-15,3220371,3220371.0
2016-04-21,20566327,10283163.5
2016-04-27,1153304495,1153304495.0
2016-05-04,108758521,108758521.0
2016-05-06,48902953,48902953.0
2016-05-11,349779543,349779543.0
2016-05-13,320170008,320170008.0
2016-05-18,543934787,543934787.0
2016-05-25,733047267,366523633.5
2016-06-01,428969437,214484718.5
2016-06-02,542846412,271423206.0
2016-06-08,1333124,1333124.0
2016-06-15,216972543,216972543.0
2016-06-18,875958308,875958308.0
2016-06-22,389681935,389681935.0
2016-06-24,144136708,72068354.0
2016-06-29,475330941,237665470.5
2016-07-08,0,0.0
2016-07-11,140752617,140752617.0
2016-07-13,15436808,15436808.0
2016-07-14,229147509,229147509.0
2016-07-22,0,0.0
2016-07-27,499192224,249596112.0
2016-07-28,183936074,183936074.0
2016-08-02,745000000,745000000.0
2016-08-10,143695338,143695338.0
2016-08-17,94061311,94061311.0
2016-09-09,15861566,7930783.0
2017-02-03,0,0.0
